trajet,catr,circ,nbv,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col,catv,obs,obsm,choc,pieton,sexe_conducteur,age,Num_Acc,Y
0,3,2,2,1,1,1,0,1,2,8,2,93,2,3,1,3,0,0,2,1,0,1,21,202200000198,0
5,3,2,-1,1,1,1,0,1,2,8,1,92,2,3,1,7,1,0,0,1,0,1,58,202200000203,0
4,4,1,2,1,1,1,6,1,2,8,1,92,2,2,1,3,0,0,2,8,0,1,44,202200000204,0
9,4,1,2,1,1,1,6,1,2,8,1,92,2,2,1,3,0,0,2,8,0,1,21,202200000204,0
0,3,2,2,1,2,1,4,4,2,8,1,35,2,8,1,6,3,7,0,1,0,1,32,202200000206,0
1,3,2,2,1,1,1,2,3,3,8,1,47,1,1,1,6,3,6,0,1,0,0,61,202200000207,1
5,3,2,2,1,1,1,0,3,3,8,1,86,1,1,1,6,3,13,0,3,0,1,34,202200000208,0
1,2,2,2,2,3,2,0,5,3,8,1,972,1,1,2,3,3,0,2,1,0,1,41,202200000209,0
0,2,2,2,2,3,2,0,5,3,8,1,972,1,1,2,3,3,0,2,1,0,1,53,202200000209,0
5,3,2,2,2,3,1,0,3,2,8,1,35,1,1,1,7,5,13,0,1,0,1,33,202200000210,0
1,2,3,4,1,1,1,0,1,4,8,1,29,1,1,1,6,4,13,0,2,0,0,19,202200000212,0
